CountryCode,CountryName,TotalPopulation,TotalExpectedDeaths,PercentDied
4,Afghanistan,38928204,117963.90656,0.3030294091142761
8,Albania,2877640,42576.254219999995,1.4795545731919209
12,Algeria,43850203,310409.63932,0.7078864362840008
24,Angola,32866164,85247.39461999999,0.25937737857086085
28,Antigua and Barbuda,97878,961.9779,0.982833629620548
31,Azerbaijan,10138976,76576.10684,0.7552647016819055
32,Argentina,45192705,513107.64032,1.1353771373499328
36,Australia,25495695,406443.91865999997,1.5941668531099074
40,Austria,9004103,170543.4397,1.894063625216193
44,Bahamas,393196,3299.30826,0.8391001586994782
48,Bahrain,1701530,5987.6989,0.3519008715685295
50,Bangladesh,164687315,952167.0442799999,0.578166596668359
51,Armenia,2963134,36173.1498,1.2207733366091442
52,Barbados,287386,4772.05076,1.660502167816108
56,Belgium,11586723,217972.71816,1.8812283521406354
64,Bhutan,771571,5060.2413799999995,0.6558361291443042
68,Bolivia (Plurinational State of),11672906,89373.4785,0.7656489181014564
70,Bosnia and Herzegovina,3280489,58226.09728,1.7749212778948502
72,Botswana,2351562,11519.75704,0.48987681549540263
76,Brazil,212553589,2112393.7664,0.993817030490132
84,Belize,397565,2177.4671,0.5477009042546501
90,Solomon Islands,686829,2788.25646,0.4059607937346851
96,Brunei Darussalam,437430,2773.9829,0.6341546990375603
100,Bulgaria,6947672,144253.46096,2.0762848470681976
104,Myanmar,54409353,369914.6825,0.6798733344614483
108,Burundi,11890698,32812.25014,0.27594889837417447
112,Belarus,9448441,147463.54478,1.5607182685482188
116,Cambodia,16718814,89142.86338,0.5331889174674711
120,Cameroon,26545796,82240.20004,0.3098049877276236
124,Canada,37736733,673234.41808,1.7840294179149
132,Cabo Verde,555932,2964.3335,0.5332187209946541
140,Central African Republic,4829710,15299.9236,0.31678762492986123
144,Sri Lanka,21412461,245366.78698,1.1459065213475461
148,Chad,16425770,46262.6976,0.2816470558153438
152,Chile,19115822,236970.60301999998,1.239656882241318
156,China,1439303382,17669094.72106,1.227614340522685
158,"China, Taiwan Province of China",23814356,379780.7232,1.5947553786463928
170,Colombia,50880612,477313.2338,0.9381043486662464
174,Comoros,869546,3096.46422,0.35610125513773855
175,Mayotte,272760,1224.75704,0.4490236984895145
178,Congo,5518035,17818.10806,0.32290676046817385
180,Democratic Republic of the Congo,89561062,300656.84682,0.3357004038429111
188,Costa Rica,5093875,53976.74162,1.05964008971559
191,Croatia,4104691,84653.15522,2.0623514710364312
192,Cuba,11326020,180204.06683999998,1.591062587210688
196,Cyprus,1207237,17315.749079999998,1.4343288915101176
203,Czechia,10707065,208008.05863999997,1.9427178095958133
204,Benin,12123097,44232.56124,0.36486189329343816
208,Denmark,5791460,113511.08967999999,1.9599736453329557
214,Dominican Republic,10848644,85590.00772,0.7889465975655574
218,Ecuador,17643354,139256.6911,0.789286952469468
222,El Salvador,6485886,57166.09934,0.8813922930498624
226,Equatorial Guinea,1402937,3909.1619,0.2786413003577495
231,Ethiopia,114962905,443756.48432,0.3859997138381289
232,Eritrea,3546353,16706.7698,0.47109720323949694
233,Estonia,1326262,26119.44644,1.9694032129398262
242,Fiji,896399,5772.54022,0.6439699531123975
246,Finland,5539585,119920.47924,2.164791753172846
250,France,65252750,1307722.50452,2.0040879572431813
254,French Guiana,298634,1809.83852,0.6060390042660916
258,French Polynesia,280854,2672.18248,0.9514489663668668
262,Djibouti,987951,5156.35772,0.5219244395724079
266,Gabon,2225679,8764.36434,0.39378384484015894
268,Georgia,3988879,60622.58248,1.5197899580308152
270,Gambia,2416617,7017.917399999999,0.2904025503420691
275,State of Palestine,5101345,18524.105199999998,0.36312198449624555
276,Germany,83762361,1774685.73748,2.1187150365544256
288,Ghana,31072846,114433.06642,0.3682735286622925
296,Kiribati,119401,565.5726999999999,0.47367501109705945
300,Greece,10421046,225048.78949999998,2.159560465427367
308,Grenada,112469,1142.57356,1.0159008793534219
312,Guadeloupe,400143,7614.7661,1.9030111984965377
316,Guam,168738,1820.11822,1.0786652799013856
320,Guatemala,17915111,95057.58208,0.5306000173819744
324,Guinea,13132725,43336.597519999996,0.3299893778328564
328,Guyana,786506,5889.3285399999995,0.7487963906187619
332,Haiti,11402422,63011.768319999996,0.5526174028640581
340,Honduras,9904309,52911.413499999995,0.5342261989200862
344,"China, Hong Kong SAR",7496810,136482.64848,1.820542984015868
348,Hungary,9658336,188023.54952,1.94674889670436
352,Iceland,341161,5275.941919999999,1.5464668939298452
356,India,1380007641,9687894.38686,0.7020174453410871
360,Indonesia,273520488,1880630.5000999998,0.6875647648376526
364,Iran (Islamic Republic of),83991810,595752.1336599999,0.7092978870916103
368,Iraq,40222287,152832.45197999998,0.379969572540716
372,Ireland,4937316,71176.19638,1.4415969401188822
376,Israel,8654433,105367.48238,1.21749723384536
380,Italy,60443772,1363525.2759399998,2.2558573544020377
384,Côte d'Ivoire,26378214,86526.11332,0.3280211212176837
388,Jamaica,2961030,27918.95236,0.942879753329078
392,Japan,126451545,3390463.3784999996,2.6812352340178998
398,Kazakhstan,18776273,156825.35554,0.8352315474961405
400,Jordan,10203029,45395.4788,0.4449215894613256
404,Kenya,53771190,159212.12534,0.2960918762259121
408,Dem. People's Republic of Korea,25778301,261747.7939,1.0153803150176577
410,Republic of Korea,51264904,824442.1604599999,1.608199949930658
414,Kuwait,4270514,17997.27288,0.4214310708266031
417,Kyrgyzstan,6524019,34886.20732,0.5347349129424669
418,Lao People's Democratic Republic,7275474,34510.6395,0.47434214595502644
422,Lebanon,6825259,54409.65308,0.7971807821505382
426,Lesotho,2142187,11387.35462,0.5315761238397955
428,Latvia,1885776,37932.2463,2.011492685239392
430,Liberia,5057622,18795.7101,0.3716313734003846
434,Libya,6871175,34991.96514,0.5092573706825979
440,Lithuania,2721556,54846.30388,2.0152553862569795
442,Luxembourg,625853,9076.17612,1.450208934046813
446,"China, Macao SAR",649263,8129.5353,1.2521174470129979
450,Madagascar,27690838,97452.04602,0.3519288438291394
454,Malawi,19129883,57248.84856,0.2992639764707395
458,Malaysia,32365669,247003.82304,0.7631661284059971
462,Maldives,540495,2262.3375,0.4185677018288791
466,Mali,20250768,56716.89566,0.2800728133372522
470,Malta,441439,9091.747379999999,2.059570491053124
474,Martinique,375229,7979.0637,2.1264517667877483
478,Mauritania,4649599,16782.2262,0.3609392164786684
480,Mauritius,1271684,16251.89812,1.2779824327427254
484,Mexico,128929378,1031434.39238,0.7999995101038958
496,Mongolia,3278219,16392.37842,0.5000391499164638
498,Republic of Moldova,4033734,51322.2909,1.2723271018862423
499,Montenegro,627981,9796.34874,1.5599753400182488
504,Morocco,36910276,297468.1963,0.8059224382391506
508,Mozambique,31255353,99578.69082,0.31859723619182934
512,Oman,5106633,16083.819959999999,0.31495938635104576
516,Namibia,2540853,10182.702659999999,0.40075921983680274
524,Nepal,29136540,180517.81905999998,0.6195581872796152
528,Netherlands,17132381,335209.32555999997,1.9565834168642406
531,Curaçao,164050,2871.11382,1.7501455775678145
533,Aruba,106721,1589.53402,1.489429465615952
540,New Caledonia,285438,2875.7305,1.0074799080711048
548,Vanuatu,307100,1250.29194,0.4071286030608922
554,New Zealand,4821585,77887.3671,1.6153892775923269
558,Nicaragua,6624453,40290.4478,0.60820791995958
562,Niger,24206568,70577.92396,0.29156518164822043
566,Nigeria,206139443,649551.58642,0.31510300841358146
578,Norway,5420281,93119.72098,1.7179869637754943
583,Micronesia (Fed. States of),114978,575.80454,0.5007954043382212
586,Pakistan,220890982,1056626.50334,0.4783475059837436
591,Panama,4314934,38151.0375,0.8841627125698793
598,Papua New Guinea,8946963,36625.57128,0.40936316915583526
600,Paraguay,7132360,50489.8018,0.7078975514415986
604,Peru,32970824,296722.31506,0.8999541990821945
608,Philippines,109579840,656172.72798,0.5988078901922105
616,Poland,37840175,692935.4139599999,1.83121619802234
620,Portugal,10194783,224363.7443,2.200770181179923
624,Guinea-Bissau,1967949,6370.16042,0.32369540165929095
626,Timor-Leste,1318391,6193.38882,0.46976874235336863
630,Puerto Rico,2860868,58163.9504,2.033087524485576
634,Qatar,2881073,7572.20718,0.2628259395024007
638,Réunion,895128,11560.82042,1.2915270687544127
642,Romania,19235432,360464.21155999997,1.873959532387939
643,Russian Federation,145923372,2259496.45204,1.5484129931153179
646,Rwanda,12952112,46026.962999999996,0.35536260804415526
662,Saint Lucia,183586,1961.12132,1.0682303225736167
670,Saint Vincent and the Grenadines,110897,1141.81276,1.0296155531709605
678,Sao Tome and Principe,219113,757.2812,0.3456121727145354
682,Saudi Arabia,34813518,147098.43454,0.4225325189485303
686,Senegal,16743853,57923.40128,0.34593830512009394
688,Serbia,8736843,161303.41389999999,1.8462437049629936
690,Seychelles,98295,860.6444,0.8755729182562695
694,Sierra Leone,7976915,26560.44746,0.33296640944525546
702,Singapore,5850212,80951.03012,1.383728147287654
703,Slovakia,5459074,90011.45524,1.6488410898991293
704,Viet Nam,97342743,820274.1622,0.8426659624744701
705,Slovenia,2078474,41926.2188,2.0171634959109426
706,Somalia,15893124,51351.238959999995,0.32310349406447714
710,South Africa,59308447,353993.70878,0.5968689565923047
716,Zimbabwe,14862850,49867.7415,0.3355193754898959
724,Spain,46745414,915179.5386399999,1.957795343603118
728,South Sudan,11193636,41627.85626,0.37188860045118494
729,Sudan,43848962,177526.0012,0.4048579330110482
732,Western Sahara,597282,2478.1883399999997,0.41491093654253763
740,Suriname,586575,4489.40994,0.765359918169032
748,Eswatini,1160110,4928.79468,0.4248558050529691
752,Sweden,10097218,198247.8597,1.9633909033161412
756,Switzerland,8652971,162471.84496,1.8776423145298877
760,Syrian Arab Republic,17500418,92852.4118,0.5305725371816833
762,Tajikistan,9537543,36253.96506,0.38011849655618857
764,Thailand,69798168,931387.50822,1.3344010808707758
768,Togo,8278683,27537.11186,0.33262672166575286
776,Tonga,105650,661.04222,0.6256906956933271
780,Trinidad and Tobago,1399405,16497.29966,1.1788795709605153
784,United Arab Emirates,9890327,22187.40316,0.22433437397974812
788,Tunisia,11818200,109747.37174,0.9286301783689563
792,Turkey,84336734,783684.91692,0.9292331819726383
795,Turkmenistan,6031074,32468.90586,0.5383602631969032
800,Uganda,45740919,107674.47032,0.23540075860740795
804,Ukraine,43730143,732980.11772,1.6761438848256225
807,North Macedonia,2083279,30233.58782,1.4512500639616681
818,Egypt,102333265,588180.89552,0.5747699885467351
826,United Kingdom,67875777,1236525.47088,1.821747795063915
830,Channel Islands,173808,3071.90372,1.767412155942189
834,United Republic of Tanzania,59734123,181235.31279999999,0.3034033207451627
840,United States of America,330974371,5428244.61462,1.640080045539236
850,United States Virgin Islands,104369,2082.78588,1.9955981948662918
854,Burkina Faso,20903207,58605.38788,0.2803655337671392
858,Uruguay,3474060,51716.93984,1.488659949453953
860,Uzbekistan,33468886,182278.81292,0.5446216910834738
862,Venezuela (Bolivarian Republic of),28435803,238944.585,0.8402948388691538
882,Samoa,198362,1100.18724,0.5546360895736079
887,Yemen,29825815,98839.72873999999,0.3313898672676673
894,Zambia,18383891,46098.90062,0.25075703843109165
